YKR006C	MRPL13	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YKR057W	RPS21A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YKR057W	RPS21A	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YKR085C	MRPL20	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YKR085C	MRPL20	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YKR094C	RPL40B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YKR094C	RPL40B	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YFR009W	GCN20	Verified	GO:0022626	cytosolic ribosome	cellular_component	part of	manually curated
YFR049W	YMR31	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YFR049W	YMR31	Verified	GO:0005761	mitochondrial ribosome	cellular_component	part of	manually curated
YFR031C-A	RPL2A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YFR031C-A	RPL2A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YER056C-A	RPL34A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBR084C-A	RPL19A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YBR084C-A	RPL19A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YDL061C	RPS29B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDL061C	RPS29B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDL061C	RPS29B	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YDL061C	RPS29B	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YDL069C	CBS1	Verified	GO:0005761	mitochondrial ribosome	cellular_component	part of	manually curated
YDL075W	RPL31A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDL075W	RPL31A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YDL081C	RPP1A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDL081C	RPP1A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YDL082W	RPL13A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDL082W	RPL13A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YDL083C	RPS16B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDL083C	RPS16B	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YDL130W	RPP1B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDL130W	RPP1B	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YDL133C-A	RPL41B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDL133C-A	RPL41B	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YDL136W	RPL35B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDL136W	RPL35B	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YDL184C	RPL41A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDL184C	RPL41A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YDL191W	RPL35A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDL191W	RPL35A	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YDL202W	MRPL11	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDL202W	MRPL11	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YDR012W	RPL4B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR012W	RPL4B	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YDR025W	RPS11A	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR025W	RPS11A	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YDR036C	EHD3	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR036C	EHD3	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YDR041W	RSM10	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR041W	RSM10	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YDR049W	VMS1	Verified	GO:0005840	ribosome	cellular_component	colocalizes with	manually curated
YDR064W	RPS13	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR064W	RPS13	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR064W	RPS13	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR064W	RPS13	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YDR064W	RPS13	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YDR064W	RPS13	Verified	GO:0022627	cytosolic small ribosomal subunit	cellular_component	part of	manually curated
YDR077W	SED1	Verified	GO:0005840	ribosome	cellular_component	part of	manually curated
YDR115W	MRX14	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR115W	MRX14	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YDR116C	MRPL1	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR116C	MRPL1	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YDR175C	RSM24	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR175C	RSM24	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YDR197W	CBS2	Verified	GO:0005761	mitochondrial ribosome	cellular_component	part of	manually curated
YDR237W	MRPL7	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR237W	MRPL7	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YDR283C	GCN2	Verified	GO:0022626	cytosolic ribosome	cellular_component	part of	manually curated
YDR296W	MHR1	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR296W	MHR1	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YDR322W	MRPL35	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR322W	MRPL35	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR322W	MRPL35	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YDR322W	MRPL35	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YDR337W	MRPS28	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR337W	MRPS28	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YDR347W	MRP1	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR347W	MRP1	Verified	GO:0005763	mitochondrial small ribosomal subunit	cellular_component	part of	manually curated
YDR382W	RPP2B	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR382W	RPP2B	Verified	GO:0022625	cytosolic large ribosomal subunit	cellular_component	part of	manually curated
YDR405W	MRP20	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR405W	MRP20	Verified	GO:0003735	structural constituent of ribosome	molecular_function	enables	manually curated
YDR405W	MRP20	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
YDR405W	MRP20	Verified	GO:0005762	mitochondrial large ribosomal subunit	cellular_component	part of	manually curated
