S000000098	YBL002W	HTB2	Histone h Two B	histone H2B	Histone H2B	S. cerevisiae	ORF
S000000099	YBL003C	HTA2	Histone h Two A	H2A2|histone H2A	Histone H2A	S. cerevisiae	ORF
S000000100	YBL004W	UTP20	U Three Protein	""	Component of the small-subunit (SSU) processome	S. cerevisiae	ORF
S000000101	YBL005W	PDR3	Pleiotropic Drug Resistance	AMY2|drug-responsive transcription factor PDR3|TPE2	Transcriptional activator of the pleiotropic drug resistance network	S. cerevisiae	ORF
S000000102	YBL006C	LDB7	Low Dye Binding	RSC14	Component of the RSC chromatin remodeling complex	S. cerevisiae	ORF
S000000103	YBL007C	SLA1	Synthetic Lethal with ABP1	cytoskeletal protein-binding protein SLA1	Cytoskeletal protein binding protein	S. cerevisiae	ORF
S000000104	YBL008W	HIR1	HIstone Regulation	""	Subunit of the HIR complex	S. cerevisiae	ORF
S000000105	YBL009W	ALK2	""	protein kinase ALK2	Atypical protein kinase	S. cerevisiae	ORF
S000000106	YBL010C	LAA2	Large Adaptin Accessory	""	Clathrin adaptor (adaptin) accessory protein	S. cerevisiae	ORF
S000000107	YBL011W	SCT1	Suppressor of Choline-Transport mutants	bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1|GAT2	Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase	S. cerevisiae	ORF
S000000109	YBL013W	FMT1	Formyl-Methionyl-tRNA Transformylase	methionyl-tRNA formyltransferase	Methionyl-tRNA formyltransferase	S. cerevisiae	ORF
S000000110	YBL014C	RRN6	Regulation of RNA polymerase I	""	Component of the core factor (CF) rDNA transcription factor complex	S. cerevisiae	ORF
S000000111	YBL015W	ACH1	Acetyl CoA Hydrolase	acetyl-CoA hydrolase	Protein with CoA transferase activity	S. cerevisiae	ORF
S000000112	YBL016W	FUS3	cell FUSion	DAC2|mitogen-activated serine/threonine-protein kinase FUS3	Mitogen-activated serine/threonine protein kinase involved in mating	S. cerevisiae	ORF
S000000113	YBL017C	PEP1	carboxyPEPtidase Y-deficient	type I sorting receptor|VPS10|VPT1	Type I transmembrane sorting receptor for multiple vacuolar hydrolases	S. cerevisiae	ORF
